case_id,family,label,formula,natoms,initial_energy_eV,final_energy_eV,deltaE_family_eV,energy_per_atom_eV,max_force_eVA,n_steps,converged,stage,site,co_idx,orientation,vacancy_site
101,vacancy_center__H2O,H2O_center_h1p80_co_bound_tilt30_az240,H2Ba16Co16O48,82,-535.257080078125,-537.1644897460938,0.20050048828125,-6.550786460318217,0.8597129583358765,16,False,stage1,vacancy_center,,co_bound_tilt30_az240,
103,vacancy_center__H2O,H2O_center_h1p80_co_bound_tilt30_az300,H2Ba16Co16O48,82,-535.257080078125,-537.1644897460938,0.20050048828125,-6.550786460318217,0.8597147464752197,16,False,stage1,vacancy_center,,co_bound_tilt30_az300,
107,vacancy_center__H2O,H2O_center_h2p00_co_bound_tilt30_az30,H2Ba16Co16O48,82,-535.2877197265625,-537.1630249023438,0.20196533203125,-6.5507685963700455,0.7141602635383606,16,False,stage1,vacancy_center,,co_bound_tilt30_az30,
111,vacancy_center__H2O,H2O_center_h2p00_co_bound_tilt30_az150,H2Ba16Co16O48,82,-535.2877197265625,-537.1630249023438,0.20196533203125,-6.5507685963700455,0.7141621708869934,16,False,stage1,vacancy_center,,co_bound_tilt30_az150,
113,vacancy_center__H2O,H2O_center_h2p00_co_bound_tilt30_az210,H2Ba16Co16O48,82,-535.2877197265625,-537.1630249023438,0.20196533203125,-6.5507685963700455,0.7141621708869934,16,False,stage1,vacancy_center,,co_bound_tilt30_az210,
117,vacancy_center__H2O,H2O_center_h2p00_co_bound_tilt30_az330,H2Ba16Co16O48,82,-535.2877197265625,-537.1630249023438,0.20196533203125,-6.5507685963700455,0.7141624689102173,16,False,stage1,vacancy_center,,co_bound_tilt30_az330,
108,vacancy_center__H2O,H2O_center_h2p00_co_bound_tilt30_az60,H2Ba16Co16O48,82,-535.1785888671875,-537.1412963867188,0.22369384765625,-6.55050361447218,0.6996241211891174,16,False,stage1,vacancy_center,,co_bound_tilt30_az60,
110,vacancy_center__H2O,H2O_center_h2p00_co_bound_tilt30_az120,H2Ba16Co16O48,82,-535.1785888671875,-537.1412963867188,0.22369384765625,-6.55050361447218,0.6996225118637085,16,False,stage1,vacancy_center,,co_bound_tilt30_az120,
114,vacancy_center__H2O,H2O_center_h2p00_co_bound_tilt30_az240,H2Ba16Co16O48,82,-535.1785888671875,-537.1412963867188,0.22369384765625,-6.55050361447218,0.6996263861656189,16,False,stage1,vacancy_center,,co_bound_tilt30_az240,
116,vacancy_center__H2O,H2O_center_h2p00_co_bound_tilt30_az300,H2Ba16Co16O48,82,-535.1785888671875,-537.1412963867188,0.22369384765625,-6.55050361447218,0.6996282935142517,16,False,stage1,vacancy_center,,co_bound_tilt30_az300,
96,vacancy_center__H2O,H2O_center_h1p80_co_bound_tilt30_az90,H2Ba16Co16O48,82,-535.1461791992188,-537.111572265625,0.25341796875,-6.550141125190549,0.8695682287216187,16,False,stage1,vacancy_center,,co_bound_tilt30_az90,
102,vacancy_center__H2O,H2O_center_h1p80_co_bound_tilt30_az270,H2Ba16Co16O48,82,-535.1461791992188,-537.111572265625,0.25341796875,-6.550141125190549,0.8695707321166992,16,False,stage1,vacancy_center,,co_bound_tilt30_az270,
109,vacancy_center__H2O,H2O_center_h2p00_co_bound_tilt30_az90,H2Ba16Co16O48,82,-535.1088256835938,-537.1067504882812,0.25823974609375,-6.55008232302782,0.7485343217849731,16,False,stage1,vacancy_center,,co_bound_tilt30_az90,
115,vacancy_center__H2O,H2O_center_h2p00_co_bound_tilt30_az270,H2Ba16Co16O48,82,-535.1088256835938,-537.106689453125,0.25830078125,-6.550081578696647,0.7485335469245911,16,False,stage1,vacancy_center,,co_bound_tilt30_az270,
